id,store_name,store_email,department,income,date_measured,country
610,J P Morgan Chase & Co,hpellergx@weibo.com,Jewelry,$80503800.84,20-9-1994,United Kingdom
611,PowerShares S&P SmallCap Financials Portfolio,vgallegosgy@addtoany.com,Shoes,$13099915.74,17-11-1996,South Africa
612,Cone Midstream Partners LP,iivshingz@nydailynews.com,Games,$72208967.35,19-6-2010,United Kingdom
613,First United Corporation,,Games,$78275774.55,13-12-2006,South Africa
614,"Cullen/Frost Bankers, Inc.",gdeatonh1@shinystat.com,Kids,$69653720.82,14-1-1995,South Africa
615,"HomeStreet, Inc.",,Games,$12111889.17,20-3-2003,United Kingdom
616,"Roper Technologies, Inc.",mdavidaih3@hud.gov,Home,$31590427.55,27-5-2011,South Africa
617,Nuveen California AMT-Free Quality Municipal Income Fund,ctwycrossh4@e-recht24.de,Outdoors,$17920457.60,22-6-2007,United States
618,Geron Corporation,,Beauty,$50457011.25,15-2-2012,United Kingdom
619,"TechTarget, Inc.",,Kids,$17920526.84,3-12-1994,South Africa
620,"NN, Inc.",,Automotive,$45588265.84,25-9-1985,United Kingdom
621,"Argos Therapeutics, Inc.",,Outdoors,$22042376.65,5-9-1995,United Kingdom
622,Voya Global Equity Dividend and Premium Opportunity Fund,,Beauty,$38871870.65,15-9-2008,United Kingdom
623,Milacron Holdings Corp.,,Beauty,$2442969.24,22-1-1988,United Kingdom
624,"Greenlight Reinsurance, Ltd.",nshanahanhb@yahoo.co.jp,Books,$20855777.90,21-11-2009,United Kingdom
625,YY Inc.,rmaletratthc@sourceforge.net,Baby,$50910485.64,27-7-2004,United States
626,"Gabelli Convertible and Income Securities Fund, Inc. (The)",,Automotive,$82661570.27,9-3-1994,United Kingdom
627,First Trust MLP and Energy Income Fund,ttatershallhe@sfgate.com,Music,$97407247.94,14-11-2005,United Kingdom
628,"Recon Technology, Ltd.",gbarriballhf@blogspot.com,Games,$70608365.55,3-3-2011,United Kingdom
629,Kansas City Southern,,Kids,$13205536.35,8-2-2009,United Kingdom
630,Kansas City Southern,lmassimihh@nasa.gov,Outdoors,$25754365.91,19-4-2012,United Kingdom
631,Deutsche Bank AG,,Garden,$56629549.36,19-7-2007,United Kingdom
632,"Juniper Pharmaceuticals, Inc.",,Health,$55278075.26,19-11-2004,United Kingdom
633,"National Bankshares, Inc.",,Health,$31076405.67,24-12-2001,United Kingdom
634,"Chembio Diagnostics, Inc.",ekennifickhl@foxnews.com,Grocery,$59117612.78,4-8-1991,United States
635,"Social Reality, Inc.",zhaughtonhm@adobe.com,Grocery,$25278913.71,15-9-2001,United Kingdom
636,"Sigma Labs, Inc.",ldovingtonhn@ed.gov,Movies,$59074195.55,20-11-1998,United States
637,Pitney Bowes Inc.,hcysterho@lulu.com,Toys,$31454781.07,7-11-1998,United States
638,IDEX Corporation,jbraccihp@psu.edu,Home,$224505.51,3-6-2005,United States
639,Western Asset Global Corporate Defined Opportunity Fund Inc.,mhirthehq@gravatar.com,Kids,$75411127.16,22-3-2008,South Africa
640,Bill Barrett Corporation,houtridgehr@bloglovin.com,Health,$48265851.41,2-3-1992,South Africa
641,"The Bon-Ton Stores, Inc.",,Sports,$6484000.74,8-4-2001,South Africa
642,"PCM, Inc.",,Tools,$43730977.02,19-6-1992,South Africa
643,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),,Shoes,$48061653.08,25-6-1984,South Africa
644,GasLog Partners LP,,Baby,$35006819.85,11-1-2009,United Kingdom
645,STRATS Trust,,Automotive,$93675682.93,19-9-1998,United States
646,Agree Realty Corporation,colivohx@purevolume.com,Tools,$69519886.57,5-9-2009,Unknown
647,ENDRA Life Sciences Inc.,,Home,$51778175.83,15-9-2002,United Kingdom
648,Lsb Industries Inc.,,Baby,$58267075.79,10-9-2006,South Africa
649,"Bio-Rad Laboratories, Inc.",esumptoni0@feedburner.com,Jewelry,$40398296.97,23-6-2010,United Kingdom
650,Chicago Bridge & Iron Company N.V.,,Beauty,$15221755.57,14-7-1994,United States
651,Berkshire Hathaway Inc.,,Automotive,$61808159.06,7-6-1999,United States
652,"First Cash, Inc.",,Jewelry,$1833779.41,13-8-1994,United Kingdom
653,B Communications Ltd.,,Industrial,$67606372.64,13-8-2013,South Africa
654,"Rigel Pharmaceuticals, Inc.",elightwingi5@tuttocitta.it,,$10083918.19,23-5-1994,United States
655,"Sabra Healthcare REIT, Inc.",broji6@kickstarter.com,Games,$66582091.67,18-2-1995,United Kingdom
656,Owens Corning Inc,dwozencrofti7@amazon.co.jp,Kids,$12661763.74,15-10-2005,United Kingdom
657,"Second Sight Medical Products, Inc.",,Tools,$77933928.15,26-3-2008,United States
658,Seaspan Corporation,,Outdoors,$39166002.09,12-1-1994,South Africa
659,KNOT Offshore Partners LP,lsonia@printfriendly.com,Outdoors,$52427018.52,9-4-2006,Unknown
660,"Polar Power, Inc.",,,$95961724.16,16-10-2006,United States
661,AllianzGI Diversified Income & Convertible Fund,,Shoes,$10559764.50,16-4-2005,United States
662,"First US Bancshares, Inc.",dgreensteadid@cnet.com,Beauty,$16169424.13,14-6-2011,United States
663,Tenaris S.A.,,Computers,$35841191.07,7-2-2010,United States
664,Southern Company (The),ebrabantif@stumbleupon.com,,$52714073.41,2-4-2006,United Kingdom
665,"Orexigen Therapeutics, Inc.",gbiaggiig@mayoclinic.com,Baby,$76936369.05,17-10-2008,Unknown
666,Kansas City Southern,bmenciih@wsj.com,Computers,$63060925.60,20-6-2011,South Africa
667,Telecom Italia S.P.A.,khitzkeii@php.net,Books,$91903437.30,5-12-1993,United States
668,Waters Corporation,fcantrellij@engadget.com,Toys,$10339708.40,14-3-2005,South Africa
669,"SiteOne Landscape Supply, Inc.",,Beauty,$99824285.67,18-10-2000,South Africa
670,Marathon Oil Corporation,,Health,$52830814.00,6-4-2009,South Africa
671,"FormFactor, Inc.",,Grocery,$22738256.82,9-1-1993,South Africa
672,DCP Midstream LP,,Shoes,$48352837.20,17-5-2011,Unknown
673,VictoryShares US Large Cap High Div Volatility Wtd ETF,,Books,$60477630.51,24-7-2006,South Africa
674,Ultra Petroleum Corp.,,Sports,$70833470.05,21-10-1998,United Kingdom
675,Protective Life Corporation,,Outdoors,$96711796.24,17-2-2011,Unknown
676,Milacron Holdings Corp.,,Health,$43272675.23,8-4-1996,United Kingdom
677,"Nature's Sunshine Products, Inc.",bfieldingis@sbwire.com,,$24290508.51,10-9-1997,United Kingdom
678,Trans World Entertainment Corp.,zlapidesit@delicious.com,Garden,$84415832.29,13-12-1993,Unknown
679,MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14,,Outdoors,$7424057.79,21-11-2009,South Africa
680,"Identiv, Inc.",mlindleyiv@free.fr,Jewelry,$82761744.81,18-2-1996,United Kingdom
681,OUTFRONT Media Inc.,,Kids,$93504450.94,21-4-1998,United Kingdom
682,"Archrock Partners, L.P.",,Garden,$58181112.58,25-8-2010,United States
683,Hillenbrand Inc,,Games,$3658777.75,24-6-2010,United Kingdom
684,Genpact Limited,,Automotive,$1503757.84,18-10-2009,United Kingdom
685,Nuveen High Income December 2019 Target Term Fund,byeomanj0@prweb.com,Grocery,$81497824.21,17-10-2011,South Africa
686,"Paratek Pharmaceuticals, Inc. ",,Beauty,$82447821.94,6-4-2007,South Africa
687,Barings Corporate Investors,,Garden,$93519381.15,8-10-1999,Unknown
688,Alere Inc.,,Automotive,$85662399.72,25-7-1995,South Africa
689,"CAS Medical Systems, Inc.",tfuncheonj4@over-blog.com,Health,$15620839.69,1-5-2007,South Africa
690,Quotient Limited,,Computers,$7049436.10,21-7-2010,South Africa
691,"Global Net Lease, Inc.",dbagottj6@barnesandnoble.com,Toys,$40902426.44,9-4-2005,United Kingdom
692,Sanchez Energy Corporation,,Computers,$66092085.11,19-4-2007,United States
693,"Cidara Therapeutics, Inc.",adrewettj8@ebay.com,Grocery,$23145401.90,27-11-1964,United Kingdom
694,Ardmore Shipping Corporation,llongthornj9@alibaba.com,Kids,$13436532.87,8-1-2003,United Kingdom
695,"Sprott Focus Trust, Inc.",gbachnicja@europa.eu,Books,$43730826.02,22-4-1988,United States
696,"AquaBounty Technologies, Inc.",,,$70448762.81,25-12-1987,United Kingdom
697,Perion Network Ltd,clardierjc@nature.com,Books,$54339893.74,14-11-2008,Unknown
698,"Crown Crafts, Inc.",,Baby,$81586432.45,26-3-2006,South Africa
699,BancFirst Corporation,aparmanje@senate.gov,Toys,$21927226.87,15-5-2004,South Africa
700,Washington Prime Group Inc.,rbarrarjf@bloomberg.com,Games,$20296681.32,15-1-2006,United Kingdom
701,"Colony NorthStar, Inc.",,Garden,$98701420.10,20-12-1999,South Africa
702,"TPI Composites, Inc.",roldjh@pbs.org,Baby,$5358407.07,15-4-2011,United Kingdom
703,"Soleno Therapeutics, Inc.",lbrinsonji@seattletimes.com,Shoes,$44855197.93,1-2-1990,United Kingdom
704,"Williams-Sonoma, Inc.",,Computers,$87085141.33,2-9-2000,United Kingdom
705,"Merit Medical Systems, Inc.",,Movies,$45903442.19,13-1-2011,United Kingdom
706,Blackrock MuniYield Pennsylvania Quality Fund,pmatussevichjl@house.gov,Tools,$96050490.52,8-10-2010,United Kingdom
707,American Homes 4 Rent,,Books,$74284210.31,20-7-1992,Unknown
708,"O'Reilly Automotive, Inc.",,Shoes,$94563194.98,17-12-2007,South Africa
709,"MS Income Securities, Inc.",wmcilwainejo@gmpg.org,Clothing,$89301484.16,22-11-1998,United States
710,Physicians Realty Trust,,Industrial,$87661989.47,11-2-1999,United Kingdom
711,"TG Therapeutics, Inc.",,Games,$76470041.47,19-10-1997,United Kingdom
712,First Foundation Inc.,,Garden,$5315250.04,23-12-2000,United States
713,Blackrock MuniYield Pennsylvania Quality Fund,kbulcroftjs@sina.com.cn,Clothing,$92866084.60,5-11-2002,United Kingdom
714,Trillium Therapeutics Inc.,,Books,$95454235.25,26-6-2003,United States
715,Abbott Laboratories,nsullerju@w3.org,Outdoors,$5493814.04,15-2-2011,United Kingdom
716,Investors Real Estate Trust,kjaunceyjv@drupal.org,Tools,$63112357.13,5-11-2008,United Kingdom
717,"Autoliv, Inc.",,Beauty,$14125110.95,11-6-2008,United States
718,"Diamond Hill Investment Group, Inc.",,Garden,$17575865.36,4-9-1996,United Kingdom
719,"P & F Industries, Inc.",,Outdoors,$30850239.64,1-11-1993,South Africa
720,iStar Financial Inc.,,Shoes,$48040569.16,8-5-2011,United States
721,ENDRA Life Sciences Inc.,rridulfok0@buzzfeed.com,Sports,$58612406.25,16-6-1988,South Africa
722,ROBO Global Robotics and Automation Index ETF,cstockdalek1@histats.com,Shoes,$2802185.55,14-10-2003,United Kingdom
723,Blackrock MuniYield Investment QualityFund,,Home,$19921356.04,18-11-2005,United Kingdom
724,Graham Holdings Company,kcroisierk3@github.io,Baby,$87321630.61,2-4-2008,United Kingdom
725,"CalAtlantic Group, Inc.",,Baby,$79520758.43,16-2-2005,United Kingdom
726,"Empire State Realty Trust, Inc.",,Grocery,$62661446.94,27-8-2010,United States
727,"China Commercial Credit, Inc.",,Automotive,$94100266.73,2-8-1992,United Kingdom
728,Caesars Acquisition Company,,,$95632799.40,18-3-2003,United Kingdom
729,JetBlue Airways Corporation,,Computers,$90967436.32,13-7-2010,United Kingdom
730,"FTI Consulting, Inc.",,Tools,$78800047.00,24-6-2009,United States
731,WisdomTree Western Asset Unconstrained Bond Fund,,Beauty,$88512191.45,7-11-2007,United States
732,"SORL Auto Parts, Inc.",cgolleykb@bing.com,Clothing,$2327783.09,11-2-2003,Unknown
733,"Provident Bancorp, Inc.",gbrumheadkc@devhub.com,Beauty,$36796357.37,7-9-2001,South Africa
734,Norwegian Cruise Line Holdings Ltd.,,Games,$51542694.90,15-1-1984,United Kingdom
735,"Twenty-First Century Fox, Inc.",,Sports,$3152882.63,13-8-2011,United Kingdom
736,"SunOpta, Inc.",,Garden,$91466933.33,23-9-2005,United Kingdom
737,"NeoGenomics, Inc.",,Clothing,$5666339.92,15-3-2010,South Africa
738,Baltimore Gas & Electric Company,,Jewelry,$9292193.26,21-12-2012,United Kingdom
739,Kayne Anderson Energy Development Company,,Shoes,$8613724.31,14-2-2011,United Kingdom
740,REX American Resources Corporation,,Jewelry,$41175628.30,8-12-1996,Unknown
741,Janus Henderson Small/Mid Cap Growth Alpha ETF,,Jewelry,$18711457.80,14-1-2008,United Kingdom
742,"Spectrum Brands Holdings, Inc.",cberridgekl@ft.com,Outdoors,$79813419.16,26-2-2009,United Kingdom
743,"Diversified Restaurant Holdings, Inc.",esilcockkm@ftc.gov,Tools,$36287030.10,15-4-1996,South Africa
744,"Virtus Investment Partners, Inc.",,Industrial,$78841702.97,26-6-1986,United Kingdom
745,"PriceSmart, Inc.",hgreggko@unesco.org,Music,$89267741.77,17-9-2010,South Africa
746,ENSCO plc,,Garden,$55764949.12,17-4-2004,United Kingdom
747,"Condor Hospitality Trust, Inc.",,Computers,$43321261.30,16-5-2006,United States
748,Anadarko Petroleum Corporation,,Electronics,$95913702.74,1-8-2011,United Kingdom
749,iStar Financial Inc.,mninehamks@nasa.gov,Industrial,$59970792.30,4-12-1992,United States
750,"Blackrock MuniYield New York Quality Fund, Inc.",dgravestonekt@businessweek.com,Shoes,$37590873.26,26-8-1993,United States
751,Marvell Technology Group Ltd.,,Jewelry,$43926351.88,13-7-1997,South Africa
752,"Ollie's Bargain Outlet Holdings, Inc.",,,$1062786.57,3-6-2005,United Kingdom
753,Invesco Value Municipal Income Trust,,Games,$95952222.53,24-9-2011,United Kingdom
754,"CareTrust REIT, Inc.",sjessekx@freewebs.com,Clothing,$46711430.57,4-3-2009,United Kingdom
755,Hunter Maritime Acquisition Corp.,,Movies,$14817758.97,19-9-1989,South Africa
756,Pioneer Municipal High Income Advantage Trust,bhewskz@desdev.cn,Clothing,$14856458.87,24-1-2004,United Kingdom
757,Japan Smaller Capitalization Fund Inc,,Jewelry,$62509237.79,1-11-2008,South Africa
758,Brookfield DTLA Inc.,,Books,$48643383.86,6-3-1992,United Kingdom
759,SuperValu Inc.,lslingerl2@cmu.edu,Automotive,$20227930.31,10-9-1992,United Kingdom
760,"Mirna Therapeutics, Inc.",cmingardil3@51.la,Home,$11102754.20,18-5-2000,United Kingdom
761,"HFF, Inc.",,Jewelry,$90712718.79,20-1-1989,Unknown
762,"American Assets Trust, Inc.",,Automotive,$43874166.12,15-10-2010,South Africa
763,First Defiance Financial Corp.,crattenberiel6@naver.com,Jewelry,$8562252.28,1-1-1994,United Kingdom
764,"Gray Television, Inc.",mbasleyl7@google.it,Kids,$22964457.22,2-6-2007,United Kingdom
765,Capstone Turbine Corporation,,Movies,$52123720.89,11-4-2003,United Kingdom
766,"Renewable Energy Group, Inc.",,Home,$56511782.99,2-8-2008,United Kingdom
767,"Casella Waste Systems, Inc.",smeaseyla@go.com,Toys,$42218476.03,20-9-2005,United Kingdom
768,"Alliance HealthCare Services, Inc.",,Baby,$20425617.85,6-9-2007,United States
769,PHH Corp,,Jewelry,$78702705.62,17-8-1996,United States
770,Pacific Gas & Electric Co.,fbratleyld@surveymonkey.com,Games,$6074859.64,22-10-2010,United States
771,"Agile Therapeutics, Inc.",,Games,$7908579.10,16-9-2005,South Africa
772,"Entergy Arkansas, Inc.",,Grocery,$24640281.51,3-9-1997,United Kingdom
773,"Tableau Software, Inc.",odowninglg@cyberchimps.com,Music,$35228140.59,8-12-2008,United States
774,Brookdale Senior Living Inc.,socaheylh@samsung.com,Automotive,$99022207.16,6-7-2008,South Africa
775,"Envestnet, Inc",,Shoes,$79520836.08,18-3-1997,Unknown
776,Blackrock MuniHoldings Investment Quality Fund,,Industrial,$36096970.03,10-5-2004,United States
777,"DexCom, Inc.",,Electronics,$37377635.10,8-2-2006,United Kingdom
778,"Zillow Group, Inc.",,Baby,$47343392.78,3-8-2008,United States
779,Southwest Airlines Company,,Clothing,$78370675.74,13-2-2008,United Kingdom
780,"Stanley Black & Decker, Inc.",,Computers,$29454136.02,24-5-2002,United Kingdom
781,"Celestica, Inc.",dtrounsonlo@gmpg.org,Computers,$77233435.61,17-3-2000,Unknown
782,"ARCA biopharma, Inc.",,Industrial,$82240007.13,7-11-2011,South Africa
783,Credit Acceptance Corporation,,Beauty,$46339166.67,25-10-2005,South Africa
784,"SeaWorld Entertainment, Inc.",,,$2997021.50,18-12-2004,South Africa
785,"Sarepta Therapeutics, Inc.",,Industrial,$62709294.29,19-5-1994,United Kingdom
786,Pangaea Logistics Solutions Ltd.,mbruynslt@quantcast.com,Games,$98693771.52,19-9-2012,South Africa
787,Cliffs Natural Resources Inc.,,Outdoors,$25272064.87,13-6-2006,South Africa
788,Entercom Communications Corporation,,Books,$38844928.21,26-2-2001,Unknown
789,"WEC Energy Group, Inc.",,Electronics,$24658346.57,19-4-1995,United Kingdom
790,"Soligenix, Inc.",,Toys,$72494038.16,18-3-2006,South Africa
791,"SPAR Group, Inc.",bhallworthly@yale.edu,Industrial,$7119883.41,15-10-1995,United States
792,"BioScrip, Inc.",,Games,$45314784.35,17-2-2006,Unknown
793,"American International Group, Inc.",kfrancombm0@vimeo.com,Garden,$98520129.42,25-12-2009,South Africa
794,Kennametal Inc.,dfelminghamm1@blogtalkradio.com,Beauty,$10478683.48,22-4-2004,United States
795,Nevro Corp.,omcgeachiem2@army.mil,Books,$19528401.77,3-2-2002,South Africa
796,Pebblebrook Hotel Trust,mrobinsm3@bing.com,Garden,$56297093.64,5-11-2008,South Africa
797,"People's United Financial, Inc.",rbeezem4@pbs.org,Jewelry,$61793929.23,4-6-1995,United States
798,"WellCare Health Plans, Inc.",fkermonm5@wix.com,Kids,$19049790.02,2-8-2011,South Africa
799,The KEYW Holding Corporation,killesm6@g.co,Automotive,$37109506.61,21-1-2000,United Kingdom
800,RiceBran Technologies,,Books,$16868455.59,6-1-2011,United Kingdom
801,"Fortinet, Inc.",pguilbertm8@soundcloud.com,,$87372405.33,12-5-2004,United States
802,"Customers Bancorp, Inc",cgrimmettm9@yelp.com,Shoes,$50596344.59,19-8-1994,South Africa
803,FlexShares Disciplined Duration MBS Index Fund,,Books,$8617875.58,4-7-1962,United Kingdom
804,Tower Semiconductor Ltd.,,Garden,$16387895.57,14-1-2007,United States
805,Ryerson Holding Corporation,,Health,$25279490.42,15-3-2009,United Kingdom
806,Liberty Global plc,cduhigmd@lulu.com,Health,$37284034.47,4-1-2002,United States
807,Dreyfus High Yield Strategies Fund,,Baby,$61602068.75,10-6-2005,South Africa
808,Nuveen High Income December 2019 Target Term Fund,jkalfmf@ask.com,Computers,$33522350.57,5-1-2007,United Kingdom
809,National General Holdings Corp,,Toys,$20451446.03,10-11-1992,Unknown
810,Banco De Chile,,Toys,$35917536.80,16-1-2005,United States
811,First Trust NASDAQ ABA Community Bank Index Fund,rcoushemi@wordpress.com,Books,$30480384.57,4-7-1993,United Kingdom
812,Fox Factory Holding Corp.,hcapsmj@theatlantic.com,Automotive,$9063314.32,24-7-1989,United Kingdom
813,Eaton Vance Tax Advantaged Dividend Income Fund,kfessiermk@nhs.uk,Computers,$98548739.33,22-7-1988,South Africa
814,"NeoGenomics, Inc.",,Outdoors,$90358848.11,5-8-2010,South Africa
815,MagneGas Corporation,,Sports,$47101211.98,6-5-1996,South Africa
816,VictoryShares US 500 Enhanced Volatility Wtd ETF,,Home,$21854405.85,16-10-1997,Unknown
817,"Customers Bancorp, Inc",,Music,$8621840.18,21-8-2002,United Kingdom
818,"Home BancShares, Inc.",,Tools,$36541652.67,19-12-1999,South Africa
819,"Boot Barn Holdings, Inc.",,Grocery,$87443572.13,8-5-2006,United Kingdom
820,Graham Holdings Company,,Toys,$52330938.92,16-1-2003,South Africa
821,Cowen Inc.,,Tools,$90794082.06,14-11-1996,United Kingdom
822,TransCanada Corporation,,Computers,$82176832.18,12-7-1988,United Kingdom
823,The Long-Term Care ETF,jnornasellmu@mail.ru,Jewelry,$95597268.79,26-2-2007,United Kingdom
824,"Redwood Trust, Inc.",,Games,$10279696.82,21-6-1995,United Kingdom
825,Kitov Pharmaceuticals Holdings Ltd.,gseintmw@virginia.edu,Books,$81363835.71,9-10-2000,United States
826,Ivy NextShares,,Computers,$84694999.50,26-11-1995,South Africa
827,"Stericycle, Inc.",wburstowemy@ehow.com,Shoes,$7145746.41,11-8-1994,South Africa
828,"Chegg, Inc.",tclabburnmz@jimdo.com,Music,$71710870.09,2-8-1992,United Kingdom
829,Fang Holdings Limited,,Computers,$99839682.86,24-8-2013,United States
830,"HD Supply Holdings, Inc.",,Industrial,$26512773.71,11-10-2011,United States
831,Annaly Capital Management Inc,iastletn2@statcounter.com,Clothing,$84407619.26,16-5-1992,United Kingdom
832,Huntington Bancshares Incorporated,tgallehockn3@mapy.cz,Computers,$86889899.34,1-11-2001,United Kingdom
833,"Agile Therapeutics, Inc.",,Clothing,$80558042.49,15-1-2008,South Africa
834,BlackRock Science and Technology Trust,,Automotive,$30967753.53,17-9-2004,South Africa
835,Brookfield Business Partners L.P.,,Shoes,$57154762.08,16-7-1992,South Africa
836,"Ebix, Inc.",rwittmann7@google.de,Movies,$24805949.63,23-9-2004,United Kingdom
837,Urstadt Biddle Properties Inc.,,Kids,$66870766.40,23-6-1998,United Kingdom
838,Modine Manufacturing Company,,Baby,$37787402.65,14-2-1986,United Kingdom
839,"Internationa Flavors & Fragrances, Inc.",ejulianona@geocities.com,Baby,$43089084.58,21-3-1992,United Kingdom
840,"PGT Innovations, Inc.",,Games,$91890177.81,12-7-1993,United States
841,"Pathfinder Bancorp, Inc.",,Shoes,$67128133.06,16-5-1985,United Kingdom
842,M&T Bank Corporation,,Electronics,$43507555.99,14-12-2001,South Africa
843,"Boston Private Financial Holdings, Inc.",,Kids,$75580277.41,13-6-1999,United Kingdom
844,"Cempra, Inc.",ohandleynf@people.com.cn,Industrial,$33686021.75,16-5-2004,Unknown
845,"Western Asset Municipal High Income Fund, Inc.",,Sports,$38305570.66,13-9-2002,United Kingdom
846,"Perficient, Inc.",mcapounnh@boston.com,Baby,$2069405.71,25-7-1990,United Kingdom
847,"Gibraltar Industries, Inc.",slidgettni@constantcontact.com,Books,$11233250.87,3-9-1984,United Kingdom
848,"Ecology and Environment, Inc.",,Tools,$62811197.67,6-3-2013,United States
849,Walter Investment Management Corp.,,Health,$2870349.69,20-2-2009,South Africa
850,WSFS Financial Corporation,,Baby,$85275176.03,12-6-1964,South Africa
851,Sun Hydraulics Corporation,ypadgettnm@washingtonpost.com,Electronics,$2167762.15,25-2-2013,United Kingdom
852,Ares Commercial Real Estate Corporation,acapstakenn@rambler.ru,Tools,$50910665.83,1-11-1996,United Kingdom
853,Jupai Holdings Limited,,Automotive,$79610638.39,22-9-2001,Unknown
854,Resource Capital Corp.,hdonnellynp@ameblo.jp,Movies,$46939263.57,3-11-2004,United Kingdom
855,"AngioDynamics, Inc.",ekynetonnq@state.gov,Jewelry,$58816620.18,9-12-1978,United States
856,Companhia Brasileira de Distribuicao,,Home,$8619057.96,19-6-2000,Unknown
857,"Allied Motion Technologies, Inc.",,Industrial,$56599857.91,11-12-2012,United Kingdom
858,VEON Ltd.,,Electronics,$8086375.47,24-8-2011,United Kingdom
859,"Genius Brands International, Inc.",,Games,$80056380.55,13-11-1991,United Kingdom
860,eGain Corporation,tpimnv@etsy.com,Automotive,$42844537.59,5-11-1991,United Kingdom
861,Netshoes (Cayman) Limited,,Jewelry,$84702518.02,14-7-2007,South Africa
862,"Accelerate Diagnostics, Inc.",,Kids,$30249625.57,24-12-2009,South Africa
863,"Allison Transmission Holdings, Inc.",lleallny@google.pl,Computers,$58161542.98,14-2-2003,United Kingdom
864,Capella Education Company,rkollatschnz@bigcartel.com,Games,$85318448.37,2-8-2006,United States
865,BB&T Corporation,,Movies,$88373894.77,21-11-2012,United Kingdom
866,PowerShares Global Water Portfolio,,Jewelry,$7725202.06,21-3-2009,Unknown
867,ESCO Technologies Inc.,,Automotive,$45708735.35,11-5-1997,United States
868,Global Medical REIT Inc.,,Games,$50905772.39,12-3-1999,South Africa
869,PowerShares High Yield Equity Dividend Achievers Portfolio,,Toys,$63591607.04,14-4-2001,United States
870,WisdomTree United Kingdom Hedged Equity Fund,mrubino5@webeden.co.uk,Outdoors,$40577871.09,1-1-2001,United States
871,First Trust NASDAQ-100 Equal Weighted Index Fund,,Home,$59528015.21,23-11-1985,South Africa
872,"Barracuda Networks, Inc.",,Books,$83845157.78,17-8-2011,United States
873,First Horizon National Corporation,iparkmano8@harvard.edu,Jewelry,$66247587.06,11-5-1990,United Kingdom
874,"Oxford Industries, Inc.",awapolo9@dmoz.org,Electronics,$19080453.16,4-11-2008,South Africa
875,"Applied Materials, Inc.",,Garden,$8289004.05,17-8-1994,United Kingdom
876,"Buffalo Wild Wings, Inc.",,Industrial,$41163519.83,22-7-2006,South Africa
877,NASDAQ TEST STOCK,estronackoc@macromedia.com,Computers,$22938067.19,7-12-2006,United Kingdom
878,"WesBanco, Inc.",,Garden,$29867121.76,25-2-2005,United States
879,"Internationa Flavors & Fragrances, Inc.",lkirimaaoe@globo.com,Garden,$19690011.78,27-7-2010,Unknown
880,"Editas Medicine, Inc.",,Home,$79700536.09,23-3-2006,South Africa
881,Vanda Pharmaceuticals Inc.,,Toys,$2685552.63,20-6-2002,United Kingdom
882,Cemex S.A.B. de C.V.,whavileoh@latimes.com,Computers,$4886897.16,24-2-2004,South Africa
883,"SB Financial Group, Inc.",kjoyesoi@marriott.com,Clothing,$14820770.23,25-5-2008,United Kingdom
884,Axis Capital Holdings Limited,,Clothing,$66180224.12,5-10-2006,United States
885,"Athenex, Inc.",kdodgshunok@wikispaces.com,Outdoors,$10072289.15,4-8-1995,United States
886,Teekay Offshore Partners L.P.,,Music,$70790495.51,23-9-2006,United States
887,The Charles Schwab Corporation,,Music,$88661892.41,7-3-1992,United States
888,Genpact Limited,,Health,$44130597.96,26-5-2010,United Kingdom
889,Canterbury Park Holding Corporation,,Health,$594919.47,19-12-2006,United Kingdom
890,Unifirst Corporation,gmagarrellop@fc2.com,Baby,$35467894.72,14-12-2011,United Kingdom
891,"Wheeler Real Estate Investment Trust, Inc.",oghionoq@globo.com,Electronics,$48990431.01,2-7-2003,United States
892,Cemtrex Inc.,nfewlessor@who.int,Shoes,$48242511.52,15-7-2004,United Kingdom
893,Ardmore Shipping Corporation,dmartinoos@quantcast.com,Books,$56699632.02,5-7-2006,United Kingdom
894,Balchem Corporation,,Tools,$25912894.90,13-6-1998,South Africa
895,eHi Car Services Limited,,Grocery,$19577459.55,13-6-2009,United Kingdom
896,"Banc of California, Inc.",,Garden,$57583804.17,13-8-2011,United States
897,First Merchants Corporation,,Electronics,$78260728.82,11-6-1996,South Africa
898,NewMarket Corporation,,Home,$86234780.94,4-5-2012,United States
899,ArcBest Corporation,,Books,$64138199.24,10-10-1998,United States
900,Invesco California Value Municipal Income Trust,deverilloz@wikia.com,Tools,$40883544.86,4-6-1998,United States
901,"MyoKardia, Inc.",,Sports,$92024210.87,19-5-2008,United Kingdom
902,"Hologic, Inc.",pwesternp1@wunderground.com,Computers,$65427946.62,13-10-1994,United Kingdom
903,"Key Energy Services, Inc.",atreacyp2@tripadvisor.com,Books,$51804656.37,19-4-1989,United Kingdom
904,Axar Acquisition Corp.,dazemap3@acquirethisname.com,Shoes,$28517380.03,9-4-2005,United States
905,Invesco California Value Municipal Income Trust,sbelfordp4@edublogs.org,Tools,$56984391.11,26-12-1997,Unknown
906,"Wesco Aircraft Holdings, Inc.",,Automotive,$38251338.31,19-2-2010,Unknown
907,Noble Energy Inc.,,Health,$26292623.93,4-5-2006,United Kingdom
908,Western Asset Mortgage Capital Corporation,yfredip7@ycombinator.com,Tools,$42586190.10,27-6-1961,United Kingdom
909,Alphabet Inc.,gcoveyp8@cyberchimps.com,Toys,$24938992.30,25-6-2009,South Africa
